data_value,geum_1,geum_2,geum_3,geum_4,geum_5,sul_1,sul_2,sul_3,sul_4,sul_5
ti_value,27.71590909090909,22.703668861712135,24.074257425742573,22.293010752688172,22.02401372212693,23.649559686888452,23.59518993586581,21.251532098333914,20.394642137773598,19.89697960251046
hi_value,62.39574468085107,47.631147540983605,54.98076923076923,47.8189233278956,47.23040152963671,60.130343511450384,57.722528363047005,48.12078812107367,54.35754448398577,56.245684303872295
ci_value,419.9269282814614,462.03779289493576,455.8388888888889,469.89002557544757,474.7850533807829,433.54752935962773,505.0408881072763,458.8762024736601,461.1165940977262,507.05870983329305
ir_value,232.67484662576686,,253.0943396226415,,,205.9216,301.51128557409226,158.72043010752688,169.18269230769232,165.16666666666666
tl_value,25.267346938775507,,25.71315789473684,,,22.58529698149951,25.362256349675135,19.925632911392405,17.901015228426395,17.147619047619045
ei_value,,,,,,0.7925272067714632,0.13051470588235295,0.7546747139050007,0.7029579288025891,0.7079354445797806
pl_value,,,,,,6.124007744433689,5.959387923904053,7.081503819863288,7.0921125461254615,7.608842105263158
sr_value,210.3859649122807,194.86764705882354,178.47058823529412,182.14285714285714,192.32110091743118,203.64935064935065,241.13333333333333,223.2027027027027,193.24806201550388,210.72908366533864
cl_value,25.243589743589745,23.866666666666664,23.483333333333334,19.984615384615385,19.517241379310345,21.71716738197425,20.015918367346938,17.16897590361446,16.02204806687565,15.800665188470067
el_value,13.488888888888887,14.45,,15.070000000000004,15.23846153846154,3.583064516129032,6.0840000000000005,6.655813953488372,6.963714285714286,7.071465968586388
hl_value,4.544642857142857,4.4,4.56,4.4799999999999995,4.546153846153846,4.193436293436294,2.130508474576271,3.7363539445628997,3.7519851116625302,3.1408488063660474
pi_value,7.557142857142857,7.352830188679244,7.438095238095239,7.339999999999998,7.251937984496124,7.2844155844155845,6.986005830903791,7.048684210526316,7.650787401574802,7.217801047120419
